yil,ay,adet,hektar
2014,ocak,2,0.35
2014,subat,4,2.61
2014,mart,13,7.19
2014,nisan,13,5.35
2014,mayis,12,2.43
2014,haziran,24,3.81
2014,temmuz,43,12.74
2014,agustos,65,586.7
2014,eylul,61,10.55
2014,ekim,75,85.91
2014,kasim,6,2.91
2014,aralik,2,0.22
2015,ocak,1,0.5
2015,subat,4,0.7
2015,mart,1,1
2015,nisan,21,31.42
2015,mayis,13,2.9
2015,haziran,32,3.85
2015,temmuz,37,8.51
2015,agustos,64,97.88
2015,eylul,39,13.74
2015,ekim,13,2.19
2015,kasim,12,6.67
2015,aralik,17,9.95
2016,ocak,12,3.12
2016,subat,12,6.91
2016,mart,19,118.49
2016,nisan,31,119.01
2016,mayis,11,2.24
2016,haziran,37,12.17
2016,temmuz,56,95.01
2016,agustos,55,77.05
2016,eylul,69,17.76
2016,ekim,25,2.77
2016,kasim,21,8.01
2016,aralik,25,13.92
2017,ocak,5,2.91
2017,subat,11,2.88
2017,mart,11,4.99
2017,nisan,18,5.99
2017,mayis,19,3.1
2017,haziran,18,9.22
2017,temmuz,33,34.56
2017,agustos,51,14.23
2017,eylul,35,277.71
2017,ekim,19,10.01
2017,kasim,11,74.84
2017,aralik,2,1.5
2018,ocak,0,0
2018,subat,5,0.65
2018,mart,7,3.63
2018,nisan,16,1.68
2018,mayis,30,57.22
2018,haziran,49,15.39
2018,temmuz,47,32.2
2018,agustos,57,21.83
2018,eylul,84,81.19
2018,ekim,42,7.95
2018,kasim,15,9.98
2018,aralik,3,0.7
2019,ocak,0,0
2019,subat,1,0.2
2019,mart,7,7.3
2019,nisan,8,3.21
2019,mayis,9,7.65
2019,haziran,53,36.48
2019,temmuz,48,573.88
2019,agustos,64,280.79
2019,eylul,65,39.75
2019,ekim,31,6.04
2019,kasim,13,4.55
2019,aralik,3,0.5
2020,ocak,9,1.71
2020,subat,2,1.01
2020,mart,14,3.59
2020,nisan,22,14.17
2020,mayis,19,100.12
2020,haziran,23,10.1
2020,temmuz,41,29.4
2020,agustos,78,361.7
2020,eylul,64,271.44
2020,ekim,23,11.8
2020,kasim,28,8.22
2020,aralik,6,1.93
2021,ocak,2,0.13
2021,subat,13,11.12
2021,mart,22,16.47
2021,nisan,39,40.16
2021,mayis,29,56.48
2021,haziran,72,50.19
2021,temmuz,49,32788.57
2021,agustos,51,19033.5
2021,eylul,58,73.6
2021,ekim,20,137.81
2021,kasim,13,11.45
2021,aralik,1,0.01
2022,ocak,3,2
2022,subat,4,0.24
2022,mart,19,21.68
2022,nisan,23,20.12
2022,mayis,46,5.72
2022,haziran,43,4405.19
2022,temmuz,27,793.21
2022,agustos,36,3.43
2022,eylul,21,542.43
2022,ekim,44,10.38
2022,kasim,12,4.56
2022,aralik,3,0.02
2023,ocak,7,0.29
2023,subat,11,1.75
2023,mart,6,0.59
2023,nisan,8,1.75
2023,mayis,10,0.79
2023,haziran,31,3.92
2023,temmuz,48,313.92
2023,agustos,45,36.76
2023,eylul,90,17.62
2023,ekim,49,18.4
2023,kasim,15,9.41
2023,aralik,3,0.01
