yil,ilce,adet,hektar
2014,AYDIN,15,6.85
2015,AYDIN,9,10
2016,AYDIN,32,93.89
2017,AYDIN,18,10.51
2018,AYDIN,17,8
2019,AYDIN,13,11.74
2020,AYDIN,23,302.33
2021,AYDIN,24,895.68
2022,AYDIN,16,244.74
2023,AYDIN,21,23.22
2014,FETHIYE,18,4.28
2015,FETHIYE,13,8.38
2016,FETHIYE,21,1.21
2017,FETHIYE,20,6.61
2018,FETHIYE,23,2.73
2019,FETHIYE,29,168.84
2020,FETHIYE,16,1.835
2021,FETHIYE,23,18.209
2022,FETHIYE,24,7.245
2023,FETHIYE,28,1.9
2014,KOYCEGIZ,32,15.67
2015,KOYCEGIZ,22,104.22
2016,KOYCEGIZ,29,5.35
2017,KOYCEGIZ,18,7.28
2018,KOYCEGIZ,30,16.19
2019,KOYCEGIZ,40,6.67
2020,KOYCEGIZ,27,4.3636
2021,KOYCEGIZ,27,10745.7
2022,KOYCEGIZ,23,7.3
2023,KOYCEGIZ,35,5.85
2014,MARMARIS,27,48.85
2015,MARMARIS,26,1.08
2016,MARMARIS,30,51.36
2017,MARMARIS,16,101.79
2018,MARMARIS,35,33.98
2019,MARMARIS,21,34.636
2020,MARMARIS,31,2.3325
2021,MARMARIS,26,9102.112
2022,MARMARIS,19,5397.63
2023,MARMARIS,27,10.93
2014,MILAS,54,574.6
2015,MILAS,31,24.05
2016,MILAS,65,76.44
2017,MILAS,42,52.21
2018,MILAS,58,39.55
2019,MILAS,44,311.84
2020,MILAS,44,231.014
2021,MILAS,44,13196.39
2022,MILAS,43,14.215
2023,MILAS,47,310.46
2014,MUGLA,38,13.52
2015,MUGLA,29,5.27
2016,MUGLA,26,66.63
2017,MUGLA,13,233.09
2018,MUGLA,30,6.14
2019,MUGLA,28,2.92
2020,MUGLA,28,2.62
2021,MUGLA,34,4856
2022,MUGLA,31,76.355
2023,MUGLA,17,4.36
2014,NAZILLI,39,22.34
2015,NAZILLI,32,10.3
2016,NAZILLI,37,140.3
2017,NAZILLI,25,12.5
2018,NAZILLI,39,73.46
2019,NAZILLI,27,9.69
2020,NAZILLI,46,33.69
2021,NAZILLI,52,701.17
2022,NAZILLI,30,41.23
2023,NAZILLI,38,11.58
2014,YATAGAN,12,3.97
2015,YATAGAN,26,4.74
2016,YATAGAN,33,10.28
2017,YATAGAN,12,6.36
2018,YATAGAN,7,0.16
2019,YATAGAN,19,2.56
2020,YATAGAN,21,186.14
2021,YATAGAN,26,3447.8
2022,YATAGAN,23,3.645
2023,YATAGAN,22,9.055
2014,YILANLI,19,5.92
2015,YILANLI,12,0.51
2016,YILANLI,27,5.96
2017,YILANLI,12,2.68
2018,YILANLI,17,2.99
2019,YILANLI,17,7.87
2020,YILANLI,23,1.66
2021,YILANLI,32,2938.02
2022,YILANLI,6,0.91
2023,YILANLI,28,2.088
2014,KAVAKLIDERE,10,1.52
2015,KAVAKLIDERE,7,4.01
2016,KAVAKLIDERE,13,7.21
2017,KAVAKLIDERE,6,0.91
2018,KAVAKLIDERE,4,0.32
2019,KAVAKLIDERE,10,2.135
2020,KAVAKLIDERE,13,9.442
2021,KAVAKLIDERE,12,5529.223
2022,KAVAKLIDERE,4,0.52
2023,KAVAKLIDERE,12,1.38
2014,DALAMAN,22,10.45
2015,DALAMAN,21,3.45
2016,DALAMAN,24,6.61
2017,DALAMAN,29,2.59
2018,DALAMAN,58,16.77
2019,DALAMAN,32,397.04
2020,DALAMAN,22,6.93
2021,DALAMAN,23,140.12
2022,DALAMAN,42,9.012
2023,DALAMAN,33,6.677
2014,SEYDIKEMER,34,13.2
2015,SEYDIKEMER,26,3.3
2016,SEYDIKEMER,36,11.22
2017,SEYDIKEMER,22,5.41
2018,SEYDIKEMER,37,32.13
2019,SEYDIKEMER,22,44.42
2020,SEYDIKEMER,35,32.833
2021,SEYDIKEMER,46,649.06
2022,SEYDIKEMER,20,6.173
2023,SEYDIKEMER,15,17.7
